,channelTitle,sum_video,sum_views,avg_views,avg_trend_days,sum_trend,avg_freq_trend
0, Adams_fyp Shorts,1,320044,320044.0,3.0,3,3.0
1, PONGAMOSLO A PRUEBA CORTOS,1,7823792,7823792.0,5.0,5,5.0
2,#GM2LTV,4,3635351,908837.75,3.0,12,3.0
3,#Mentale Zuflucht,1,370768,370768.0,4.0,4,4.0
4,#StruggleNation,2,403695,201847.5,5.0,10,5.0
5,#TeamTrees,1,809044,809044.0,5.0,10,10.0
6,$uicideboy$,3,2101500,700500.0,3.6666666666666665,12,4.0
7,(G)I-DLE (여자)아이들 (Official YouTube Channel),10,186939912,18693991.2,6.1,127,12.7
8,01099,11,1780495,161863.18181818182,5.363636363636363,59,5.363636363636363
9,1 Man 1 Game,1,459347,459347.0,6.0,6,6.0
10,1 Minute Smart Appliances,1,2350611,2350611.0,4.0,8,8.0
11,1. FC Kaiserslautern,7,276294,39470.57142857143,4.428571428571429,31,4.428571428571429
12,1. FC Köln,15,1339517,89301.13333333333,4.666666666666667,70,4.666666666666667
13,1. FC Nürnberg - CLUB TV,10,501500,50150.0,4.2,42,4.2
14,1. FSV Mainz 05,1,31810,31810.0,5.0,5,5.0
15,10 Downing Street,10,2568233,256823.3,5.5,73,7.3
16,10 News First,6,5934157,989026.1666666666,7.0,78,13.0
17,10 Tampa Bay,6,3135618,522603.0,5.666666666666667,34,5.666666666666667
18,100 Thieves,5,3123349,624669.8,5.2,30,6.0
19,100% Star Wars,1,1461273,1461273.0,4.0,4,4.0
20,1000PS - die starke Motorradseite im Internet,3,138880,46293.333333333336,3.3333333333333335,10,3.3333333333333335
21,100SekundenPhysik,25,6680666,267226.64,4.84,124,4.96
22,100T Call of Duty Shorts,1,120093,120093.0,4.0,4,4.0
23,1019,6,1080630,180105.0,5.833333333333333,44,7.333333333333333
24,102 BOYZ,17,2750928,161819.29411764705,4.235294117647059,72,4.235294117647059
25,102.7KIISFM,2,2335301,1167650.5,2.5,13,6.5
26,11Alive,10,8929599,892959.9,5.7,59,5.9
27,12 News,2,3274607,1637303.5,7.0,14,7.0
28,123 GO! German,1,481546,481546.0,5.0,5,5.0
29,131 LABEL OFFICIAL,2,18466974,9233487.0,3.5,10,5.0
30,1320video,2,876811,438405.5,3.5,7,3.5
31,15MOFERADIO,2,335316,167658.0,5.0,10,5.0
32,16BARS,9,1173366,130374.0,4.222222222222222,38,4.222222222222222
33,16ShotEm Visualz,1,388187,388187.0,4.0,4,4.0
34,18 Karat,1,43206,43206.0,5.0,5,5.0
35,1804 Jackboy,17,17558763,1032868.4117647059,5.705882352941177,101,5.9411764705882355
36,187 Strassenbande - Topic,6,1431311,238551.83333333334,4.333333333333333,27,4.5
37,1980sGamer,5,3616607,723321.4,5.0,34,6.8
38,1986zig,9,3903698,433744.22222222225,5.777777777777778,52,5.777777777777778
39,1LIVE,19,3816681,200877.94736842104,4.526315789473684,86,4.526315789473684
